Date,Ticker,Investment_Value_Numeric
2021-02-04,HDFCBANK.NS,100000.0
2021-02-05,HDFCBANK.NS,101172.0
2021-02-08,HDFCBANK.NS,101656.0
2021-02-09,HDFCBANK.NS,102074.0
2021-02-10,HDFCBANK.NS,100168.0
2021-02-11,HDFCBANK.NS,99573.0
2021-02-12,HDFCBANK.NS,100180.0
2021-02-15,HDFCBANK.NS,102375.0
2021-02-16,HDFCBANK.NS,103011.0
2021-02-17,HDFCBANK.NS,100469.0
2021-02-18,HDFCBANK.NS,98429.0
2021-02-19,HDFCBANK.NS,97467.0
2021-02-22,HDFCBANK.NS,98031.0
2021-02-23,HDFCBANK.NS,96837.0
2021-02-24,HDFCBANK.NS,101732.0
2021-02-25,HDFCBANK.NS,101729.0
2021-02-26,HDFCBANK.NS,97169.0
2021-03-01,HDFCBANK.NS,98721.0
2021-03-02,HDFCBANK.NS,99310.0
2021-03-03,HDFCBANK.NS,100491.0
2021-03-04,HDFCBANK.NS,98287.0
2021-03-05,HDFCBANK.NS,96891.0
2021-03-08,HDFCBANK.NS,96226.0
2021-03-09,HDFCBANK.NS,98949.0
2021-03-10,HDFCBANK.NS,98521.0
2021-03-12,HDFCBANK.NS,98281.0
2021-03-15,HDFCBANK.NS,96805.0
2021-03-16,HDFCBANK.NS,95760.0
2021-03-17,HDFCBANK.NS,94696.0
2021-03-18,HDFCBANK.NS,94421.0
2021-03-19,HDFCBANK.NS,94833.0
2021-03-22,HDFCBANK.NS,93037.0
2021-03-23,HDFCBANK.NS,95000.0
2021-03-24,HDFCBANK.NS,93648.0
2021-03-25,HDFCBANK.NS,92670.0
2021-03-26,HDFCBANK.NS,94440.0
2021-03-30,HDFCBANK.NS,98391.0
2021-03-31,HDFCBANK.NS,94589.0
2021-04-01,HDFCBANK.NS,94152.0
2021-04-05,HDFCBANK.NS,91799.0
2021-04-06,HDFCBANK.NS,91207.0
2021-04-07,HDFCBANK.NS,91647.0
2021-04-08,HDFCBANK.NS,90735.0
2021-04-09,HDFCBANK.NS,90035.0
2021-04-12,HDFCBANK.NS,86571.0
2021-04-13,HDFCBANK.NS,88680.0
2021-04-15,HDFCBANK.NS,90564.0
2021-04-16,HDFCBANK.NS,90472.0
2021-04-19,HDFCBANK.NS,89443.0
2021-04-20,HDFCBANK.NS,88113.0
2021-04-22,HDFCBANK.NS,90083.0
2021-04-23,HDFCBANK.NS,89554.0
2021-04-26,HDFCBANK.NS,88962.0
2021-04-27,HDFCBANK.NS,91109.0
2021-04-28,HDFCBANK.NS,93522.0
2021-04-29,HDFCBANK.NS,93249.0
2021-04-30,HDFCBANK.NS,89437.0
2021-05-03,HDFCBANK.NS,89573.0
2021-05-04,HDFCBANK.NS,87920.0
2021-05-05,HDFCBANK.NS,88823.0
2021-05-06,HDFCBANK.NS,88715.0
2021-05-07,HDFCBANK.NS,89592.0
2021-05-10,HDFCBANK.NS,89915.0
2021-05-11,HDFCBANK.NS,88883.0
2021-05-12,HDFCBANK.NS,88626.0
2021-05-14,HDFCBANK.NS,87825.0
