Ticker,Price,MA50,MA_Diff_Pct,Trend
HDFCBANK.NS,720.0,771.6090014648438,-6.69,Strong Bearish 🩸
HINDUNILVR.NS,2020.699951171875,2133.70201171875,-5.3,Strong Bearish 🩸
ICICIBANK.NS,1402.0,1404.8639990234376,-0.2,Weak Bearish ↘️
INFY.NS,1119.800048828125,1100.0019958496093,1.8,Weak Bullish ↗️
ITC.NS,267.04998779296875,284.1159991455078,-6.01,Strong Bearish 🩸
M&M.NS,3415.0,3223.577978515625,5.94,Strong Bullish 🚀
ONGC.NS,238.0,242.54159912109375,-1.87,Weak Bearish ↘️
RELIANCE.NS,1311.0,1305.1300024414063,0.45,Weak Bullish ↗️
TCS.NS,2289.0,2229.3340112304686,2.68,Strong Bullish 🚀
TMPV.NS,321.29998779296875,345.0609991455078,-6.89,Strong Bearish 🩸
